Spider-Man,12.99
Iron Man,14.99
Batman,15.99
Wonder Woman,13.49
Darth Vader,16.99
Harry Potter,10.99
Pikachu,11.99
Captain America,14.49
Thor,15.49
Ant-Man,13.99
Black Panther,16.99
Hawkeye,14.99
Shuri,12.99
Goku,10.99
Vegeta,11.99
Falcon,13.99
Dr. Strange,16.99
Black Widow,14.99
Loki,12.99
Nebula,10.99
Gamora,11.99
Rocket,13.99
Groot,16.99
Mantis,14.99
Hulk,15.99
Vision,13.49
Scarlet Witch,16.49
Deadpool,12.99
Thanos,17.99
Star-Lord,14.99
Boba Fett,16.99
The Mandalorian,18.99
Ahsoka Tano,12.99
Yoda,10.99
Luke Skywalker,13.99
Leia Organa,11.99
Han Solo,14.49
Kylo Ren,15.99
R2-D2,12.49
C-3PO,13.49
Obi-Wan Kenobi,16.99
Anakin Skywalker,14.99
Rey,11.99
BB-8,10.99
Finn,12.49
Poe Dameron,13.99
Chewbacca,15.49
Jabba the Hutt,17.99
The Joker,14.99
Harley Quinn,13.99
Aquaman,15.49
Green Lantern,12.99
The Flash,11.99
Superman,16.49
Catwoman,14.99
Robin,12.99
Bane,17.49
Two-Face,13.49
Scarecrow,14.99
Penguin,15.99
Poison Ivy,13.49
Mr. Freeze,16.99
Riddler,12.99
Nightwing,14.49
Batgirl,11.99
Shazam,13.99
Green Arrow,16.99
Martian Manhunter,14.49
Cyborg,15.99
Hawkgirl,13.99
Zatanna,12.99
Supergirl,16.49
The Punisher,14.99
Jessica Jones,13.49
Daredevil,15.99
Luke Cage,12.99
Iron Fist,11.99
Ghost Rider,16.49
Moon Knight,14.49
Silver Surfer,13.99
Blade,14.99
She-Hulk,12.49
Ms. Marvel,11.99
Nick Fury,15.99
Wolverine,16.99
Cyclops,12.99
Jean Grey,13.49
Storm,14.99
Magneto,15.49
Professor X,16.99
Rogue,13.99
Gambit,14.49
Beast,12.99
Nightcrawler,13.99
Mystique,11.49
Juggernaut,16.49
Colossus,14.99
Iceman,13.99
Psylocke,15.99
Flash,13.49
Lex Luthor,11.99
